ID;"Timestamp,""1.	What is your age range?"",""2.	What is your gender?"",""3.	What is your education level?"",""4.	In which country have you lived most of your life?"",""5.	Which of the following categories best describes the industry you primarily work in?"",""6.	How well do you understand the “facial recognition” concept? "",""7.	From what sources has your knowledge about facial recognition technology come? (Please select all that apply)"",""8.	What security measure(s) would you use to unlock your mobile phone? (Select all that apply)"",""9.	What would be the primary reason for you to use FaceID to unlock your mobile phone? "",""10.	What would be the primary reason for you to NOT use FaceID to unlock your mobile phone? "",""11.	How knowledgeable  are you about the usage of facial recognition technology by your country’s government?"",""12.	How much do you agree with the statement: “The public should be given the opportunity to consent or opt out of being subjected to facial recognition technology”?"",""13.	On a scale of 1 to 5, where 1 is not at all and 5 is very strongly, how strongly do you feel that use of facial recognition on surveillance cameras is an invasion of your privacy?"",""14.	How much do you agree the following purposes of using facial recognition technology? [By police in criminal investigations]"",""14.	How much do you agree the following purposes of using facial recognition technology? [By police in their day to day policing]"",""14.	How much do you agree the following purposes of using facial recognition technology? [On smartphones, to allow a phone to ‘unlock’ in response to the owner's face]"",""14.	How much do you agree the following purposes of using facial recognition technology? [In airports security checkpoint]"",""14.	How much do you agree the following purposes of using facial recognition technology? [In supermarkets to verify whether someone is old enough to buy alcohol]"",""14.	How much do you agree the following purposes of using facial recognition technology? [In supermarkets to track shopper behaviour around the store and target products at shoppers]"",""14.	How much do you agree the following purposes of using facial recognition technology? [In schools to register pupils and check attendance]"",""14.	How much do you agree the following purposes of using facial recognition technology? [In schools to monitor pupils’ expressions and behavior]"",""14.	How much do you agree the following purposes of using facial recognition technology? [In schools to prevent non-students from entering campus]"",""14.	How much do you agree the following purposes of using facial recognition technology? [On public transport to let paying customers through ticket barriers]"",""14.	How much do you agree the following purposes of using facial recognition technology? [On public transport to identify persons of interest for the police]"",""14.	How much do you agree the following purposes of using facial recognition technology? [At work to ensure workers do not enter unauthorised or high risk areas (e.g. construction zones)]"",""14.	How much do you agree the following purposes of using facial recognition technology? [At work to monitor personality traits and mood of candidates when hiring for a job]"",""14.	How much do you agree the following purposes of using facial recognition technology? [Events where massive amounts of people gather, e.g. sporting event, concert]"",""14.	How much do you agree the following purposes of using facial recognition technology? [In apartment buildings to identify residents]"",""15.	On a scale of 1 to 5, where 1 is very comfortable and 5 is not at all comfortable, how comfortable are you with the police using facial recognition technology?"",""16.	Do you agree that police should use facial recognition technology to better serve the public?"",""17.	Reasons for agreeing with police use of facial recognition technology: (Please select all that apply)"",""18.	Reasons for disagreeing with police use of facial recognition technology: (Please select all that apply)"",""19.	Would you feel safer if facial recognition technology was added to surveillance cameras IN YOUR CITY?"",""20.	Do you agree that the use of facial recognition technology can help identify criminals more efficiently IN YOUR CITY? "",""21.	Do you agree that the facial recognition technology can help prevent crimes from occurring IN YOUR CITY? "",""22.	Do you agree that the use of facial recognition technology will deter terrorists IN YOUR CITY?"",""23.	 Do you agree with using facial recognition technology as evidence to bring criminals to justice?"",""24.	Do you believe that the government will use facial recognition technology without notifying the public?"",""25.	How has learning more about facial recognition technology affected your opinion toward its use? "",""26.	Do you believe that facial recognition technology will be more widely used in the next 10 years?"",""27.	Please list any additional comments you would like to share here:"",""""";;;;;;;;;;;;;;;
181;"2019/10/17 2:06:28 pm CET,""61 - 70"",""Male"",""Doctor or equivalent"","""","""",""Very well"",""You need to recode this to allow multiple responses!!!"",""Finger prints"",""Faster"","""",""Somewhat aware"",""Agree"",""Agree"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""4"",""Yes (go to question 14)"",""It is beneficial for my personal security";I can opt out or consent;It is accurate;"It is reliable"","""",""Yes"",""Agree"",""Agree"",""Agree"",""Strongly agree"",""Agree"",""I am now somewhat more supportive of using facial recognition technology"",""Strongly agree"",""Testing this space. :-)"",""By police in criminal investigations";On smartphones, to allow a phone to ‘unlock’ in response to the owner's face;"At work, to monitor personality traits and mood of candidates when hiring for a job""";;;;;;;;;;
182;"2019/10/18 11:57:42 am CET,""18 - 30"",""Female"",""Master or equivalent"","""","""",""Neutral"",""Class at school/university"",""Face ID"",""Easier"","""",""Very aware"",""Agree"",""4"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;
183;"2019/10/18 1:20:07 pm CET,""18 - 30"",""Female"",""Master or equivalent"","""","""",""Neutral"",""Internet";Scientific articles/journals;Conversations with others;"Class at school/university"",""Finger prints"",""Easier"","""",""Slightly aware"",""Agree"",""3"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""4"",""Yes (go to question 14)"",""It is beneficial for the security of society";I trust them to use the technology ethically;"It will not be misused or hacked"","""",""Yes"",""Strongly agree"",""Neutral"",""Neutral"",""Strongly agree"",""Neutral"",""I am now somewhat more supportive of using facial recognition technology"",""Strongly agree"","""",""By police in criminal investigations";On smartphones, to allow a phone to ‘unlock’ in response to the owner's face;In airports security checkpoint;On public transport, to identify persons of interest for the police;"At work, to ensure workers do not enter unauthorised or high risk areas (e.g. construction zones)""";;;;;;
184;"2019/10/23 1:16:48 am CET,"""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""Yes"",""Agree"",""Agree"",""Disagree"",""Strongly agree"",""Agree"",""I am now somewhat more supportive of using facial recognition technology"",""Strongly agree"",""Good luck!"",""""";;;;;;;;;;;;;;;
185;"2019/10/25 5:20:51 am CET,""61 - 70"",""Male"",""Doctor or equivalent"",""United States"",""Retired & Unemployed"",""Very well"",""Print media";Internet;"Conversations with others"",""Passwords";Pattern recognition;Finger prints;"Face ID"",""More secure"",""None of the above"",""Somewhat knowledgeable"",""Neutral"",""2"",""Strongly agree"",""Agree"",""Strongly agree"",""Strongly agree"",""Agree"",""Disagree"",""Strongly agree"",""Disagree"",""Strongly agree"",""Strongly agree"",""Agree"",""Strongly agree"",""Disagree"",""Strongly agree"",""Strongly agree"",""2"",""Agree"",""It is beneficial for the security of society";It is beneficial for my personal security;It enhances existing security systems e.g. CCTV and others;"It is indiscriminate e.g. by race and gender"",""It infringes on the privacy of people in society";I can’t opt out or consent;"It will be misused or hacked"",""Yes"",""Agree"",""Agree"",""Neutral"",""Strongly agree"",""Strongly believe"",""I am now somewhat more supportive of using facial recognition technology"",""Strongly agree"",""Good luck!!"",""""";;;;;
186;"2019/10/25 3:58:42 pm CET,""18 - 30"",""Male"",""Bachelor or equivalent"",""Lebanon"",""Education & Training"",""Neutral"",""Internet";"Conversations with others"",""Passwords";"Finger prints"",""Faster"",""More difficult"",""Slightly knowledgeable"",""Strongly agree"",""5"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""2"",""Neutral"",""It is beneficial for the security of society";It is beneficial for my personal security;I can opt out or consent;"It will not be misused or hacked"",""None of the above"",""I am not sure"",""Agree"",""Agree"",""Agree"",""Strongly agree"",""Believe"",""I am now somewhat more supportive of using facial recognition technology"",""Neutral"","""",""""";;;;;;;;;;
187;"2019/10/25 4:01:00 pm CET,""18 - 30"",""Male"",""Master or equivalent"",""Lebanon"",""Computer science & IT"",""Neutral"",""Internet"",""Passwords";"Finger prints"",""More secure"",""Slower"",""Slightly knowledgeable"",""Agree"",""3"",""Agree"",""Neutral"",""Neutral"",""Strongly agree"",""Neutral"",""Neutral"",""Disagree"",""Neutral"",""Agree"",""Neutral"",""Agree"",""Strongly agree"",""Disagree"",""Neutral"",""Neutral"",""2"",""Neutral"",""It is beneficial for the security of society";It is beneficial for my personal security;I can opt out or consent;"I trust them to use the technology ethically"",""It infringes on the privacy of people in society";I can’t opt out or consent;It is not accurate;"It is not reliable"",""I am not sure"",""Agree"",""Neutral"",""Agree"",""Agree"",""Neutral"",""I am now somewhat more supportive of using facial recognition technology"",""Strongly agree"","""",""""";;;;;;;;
188;"2019/10/25 4:06:02 pm CET,""18 - 30"",""Female"",""Master or equivalent"",""Lebanon"",""Computer science & IT"",""Very well"",""Internet";Conversations with others;"Class at school/university"",""Passwords";"Finger prints"",""I would not use it, anyone can point my phone in my face and unlock it, it is not safe."",""Less secure"",""Somewhat knowledgeable"",""Strongly agree"",""3"",""Strongly agree"",""Neutral"",""Neutral"",""Disagree"",""Strong disagree"",""Strong disagree"",""Disagree"",""Strong disagree"",""Disagree"",""Strong disagree"",""Neutral"",""Disagree"",""Strong disagree"",""Strongly agree"",""Neutral"",""3"",""Neutral"",""It is beneficial for the security of society";It is beneficial for my personal security;It enhances existing security systems e.g. CCTV and others;I trust them to use the technology ethically;It is reliable;"It does not affect me personally"",""It infringes on the privacy of people in society";It normalises surveillance;I can’t opt out or consent;I do not trust them to use technology ethically;It infringes on my personal privacy;"It will be misused or hacked"",""No"",""Agree"",""Neutral"",""Disagree"",""Agree"",""Strongly believe"",""It had no affect"",""Strongly agree"","""",""""";;
189;"2019/10/25 4:18:37 pm CET,""18 - 30"",""Male"",""Master or equivalent"",""Lebanon"",""Engineering & Technology"",""Very well"",""Internet";"Conversations with others"",""Passwords";"Finger prints"",""I am not sure"",""Less secure"",""Neutral"",""Disagree"",""1"",""Strongly agree"",""Neutral"",""Strong disagree"",""Strongly agree"",""Disagree"",""Strong disagree"",""Disagree"",""Disagree"",""Neutral"",""Strong disagree"",""Strong disagree"",""Disagree"",""Strong disagree"",""Strong disagree"",""Agree"",""5"",""Strongly agree"",""It is beneficial for the security of society";It is beneficial for my personal security;It will not be misused or hacked;"It is reliable"",""It infringes on the privacy of people in society"",""Yes"",""Agree"",""Agree"",""Agree"",""Strongly agree"",""Disbelieve"",""I am now somewhat more supportive of using facial recognition technology"",""Neutral"","""",""""";;;;;;;;;;
190;"2019/10/25 4:19:38 pm CET,""31 - 40"",""Female"",""Master or equivalent"",""United Kingdom"",""Engineering & Technology"",""Somewhat"",""Internet";"Conversations with others"",""Passwords";Pattern recognition;"Finger prints"",""I would not use it - less secure"",""Less secure"",""Slightly knowledgeable"",""Strongly agree"",""5"",""Neutral"",""Disagree"",""Neutral"",""Disagree"",""Strong disagree"",""Strong disagree"",""Strong disagree"",""Strong disagree"",""Disagree"",""Disagree"",""Strong disagree"",""Disagree"",""Strong disagree"",""Disagree"",""Strong disagree"",""5"",""Strongly Disagree"",""None of the above"",""It infringes on the privacy of people in society";It normalises surveillance;I can’t opt out or consent;I do not trust them to use technology ethically;It will be misused or hacked;"It can be used to discriminate e.g. by race and gender"",""No"",""Neutral"",""Disagree"",""Strongly disagree"",""Strong disagree"",""Strongly believe"",""I am now much less supportive of using facial recognition technology"",""Strongly agree"","""",""""";;;;;;;
191;"2019/10/25 4:21:52 pm CET,""18 - 30"",""Female"",""Bachelor or equivalent"",""Lebanon"",""Business & Finance & Insurance"",""Somewhat"",""Internet"",""Passwords";"Finger prints"",""None of the above"",""Less secure"",""Neutral"",""Agree"",""3"",""Strongly agree"",""Agree"",""Neutral"",""Strongly agree"",""Neutral"",""Strong disagree"",""Strong disagree"",""Neutral"",""Neutral"",""Agree"",""Agree"",""Agree"",""Disagree"",""Strong disagree"",""Agree"",""2"",""Strongly agree"",""It is beneficial for the security of society";It is beneficial for my personal security;"It enhances existing security systems e.g. CCTV and others"",""It infringes on the privacy of people in society";It normalises surveillance;I do not trust them to use technology ethically;It infringes on my personal privacy;It will be misused or hacked;"It can be used to discriminate e.g. by race and gender"",""No"",""Neutral"",""Disagree"",""Neutral"",""Agree"",""Believe"",""It had no affect"",""Agree"","""",""""";;;;;;;
192;"2019/10/25 4:43:31 pm CET,""51 - 60"",""Female"",""Bachelor or equivalent"",""New Zealand"",""Education & Training"",""Neutral"",""Conversations with others"",""I do not use any security measure"",""I am not sure"",""Things can go wrong and you are unable to fix "",""Not knowledgeable at all"",""Strongly agree"",""3"",""Strongly agree"",""Agree"",""Neutral"",""Strongly agree"",""Strong disagree"",""Strong disagree"",""Strong disagree"",""Strong disagree"",""Strong disagree"",""Strong disagree"",""Agree"",""Neutral"",""Strong disagree"",""Strong disagree"",""Strong disagree"",""2"",""Agree"",""It is beneficial for the security of society";It is beneficial for my personal security;It enhances existing security systems e.g. CCTV and others;I trust them to use the technology ethically;"It is indiscriminate e.g. by race and gender"",""I can’t opt out or consent";"It will be misused or hacked"",""I am not sure"",""Agree"",""Neutral"",""Disagree"",""Agree"",""Believe"",""It had no affect"",""Agree"","""",""""";;;;;;;;;;
193;"2019/10/26 4:13:10 am CET,""61 - 70"",""Female"",""Ed Specialist"",""United States"",""Retired & Unemployed"",""Very well"",""Print media";Internet;Conversations with others;"Television"",""Swipe";Passwords;Pattern recognition;Finger prints;"Face ID"",""Faster"",""Less reliable"",""Somewhat knowledgeable"",""Disagree"",""2"",""Strongly agree"",""Agree"",""Strongly agree"",""Strongly agree"",""Agree"",""Neutral"",""Neutral"",""Neutral"",""Agree"",""Agree"",""Agree"",""Agree"",""Neutral"",""Agree"",""Agree"",""1"",""Strongly agree"",""It is beneficial for the security of society";It is beneficial for my personal security;It enhances existing security systems e.g. CCTV and others;I trust them to use the technology ethically;It is indiscriminate e.g. by race and gender;It is reliable;"It does not affect me personally"",""It normalises surveillance"",""No"",""Neutral"",""Neutral"",""Disagree"",""Agree"",""Believe"",""I am now somewhat more supportive of using facial recognition technology"",""Strongly agree"","""",""""";;
194;"2019/10/26 4:44:24 am CET,""Over 70"",""Female"",""Bachelor or equivalent"",""United States"",""Retired & Unemployed"",""Somewhat"",""Internet"",""Swipe";"Passwords"",""Faster"",""I am not sure"",""Slightly knowledgeable"",""Strongly agree"",""4"",""Strongly agree"",""Agree"",""Neutral"",""Agree"",""Neutral"",""Neutral"",""Neutral"",""Neutral"",""Agree"",""Neutral"",""Agree"",""Neutral"",""Neutral"",""Neutral"",""Neutral"",""3"",""Neutral"",""It is beneficial for the security of society";I can opt out or consent;It will not be misused or hacked;It is indiscriminate e.g. by race and gender;It is accurate;"It is reliable"",""It infringes on the privacy of people in society";It normalises surveillance;I do not trust them to use technology ethically;It infringes on my personal privacy;It will be misused or hacked;It is not accurate;"It is not reliable"",""Yes"",""Agree"",""Agree"",""Agree"",""Agree"",""Believe"",""I am now somewhat more supportive of using facial recognition technology"",""Agree"","""",""""";;;
195;"2019/10/27 6:35:59 am CET,""51 - 60"",""Female"",""Bachelor or equivalent"",""United States"",""Business & Finance & Insurance"",""Somewhat"",""Conversations with others"",""Passwords";Pattern recognition;Finger prints;"Face ID"",""More secure"",""None of the above"",""Not knowledgeable at all"",""Neutral"",""1"",""Strongly agree"",""Strongly agree"",""Strongly agree"",""Strongly agree"",""Strongly agree"",""Neutral"",""Agree"",""Neutral"",""Strongly agree"",""Agree"",""Agree"",""Strongly agree"",""Neutral"",""Agree"",""Agree"",""3"",""Agree"",""It is beneficial for the security of society";It enhances existing security systems e.g. CCTV and others;"I can opt out or consent"",""I do not trust them to use technology ethically";It will be misused or hacked;"It can be used to discriminate e.g. by race and gender"",""I am not sure"",""Neutral"",""Neutral"",""Neutral"",""Agree"",""Believe"",""It had no affect"",""Agree"",""I think facial recognition usage for policing and security reasons is inevitable... if used ‘properly’ it could be a good thing. I don’t know if there are safeguards or laws in place to prohibit or deter potential abuse. "",""""";;;;;;;;
196;"2019/10/28 11:50:30 am CET,""61 - 70"",""Male"",""Doctor or equivalent"",""United States"",""Retired & Unemployed"",""Neutral"",""Print media";Internet;Scientific articles/journals;"Television news and programs"",""Passwords"",""More secure"",""I am not convinced I need more security "",""Slightly knowledgeable"",""Neutral"",""2"",""Agree"",""Agree"",""Agree"",""Agree"",""Neutral"",""Neutral"",""Neutral"",""Disagree"",""Agree"",""Neutral"",""Neutral"",""Agree"",""Disagree"",""Neutral"",""Neutral"",""2"",""Agree"",""It is beneficial for the security of society";It is beneficial for my personal security;"It enhances existing security systems e.g. CCTV and others"",""I can’t opt out or consent";It will be misused or hacked;"It is not reliable"",""I am not sure"",""Agree"",""Neutral"",""Neutral"",""Neutral"",""Believe"",""I am now somewhat more supportive of using facial recognition technology"",""Strongly agree"","""",""""";;;;;;;;
197;"2019/10/28 1:17:44 pm CET,""61 - 70"",""Female"",""Bachelor or equivalent"",""United States"",""Journalism & Media"",""Know about but don’t understand"",""Print media";"Internet"",""I do not use any security measure"",""Easier"",""I am not sure"",""Not knowledgeable at all"",""Agree"",""3"",""Agree"",""Disagree"",""Agree"",""Agree"",""Agree"",""Strong disagree"",""Agree"",""Strong disagree"",""Strongly agree"",""Strongly agree"",""Disagree"",""Agree"",""Strong disagree"",""Neutral"",""Disagree"",""3"",""Neutral"",""It enhances existing security systems e.g. CCTV and others"",""It infringes on the privacy of people in society";It normalises surveillance;"It can be used to discriminate e.g. by race and gender"",""I am not sure"",""Neutral"",""Neutral"",""Strongly disagree"",""Neutral"",""Believe"",""It had no affect"",""Agree"","""",""""";;;;;;;;;;;;
198;"2019/10/28 2:39:48 pm CET,""Over 70"",""Male"",""Bachelor or equivalent"",""United States"",""Computer science & IT"",""Very well"",""Print media";Scientific articles/journals;"Conversations with others"",""Passwords";"Finger prints"",""None of the above"",""Less secure"",""Somewhat knowledgeable"",""Strongly agree"",""4"",""Strongly agree"",""Agree"",""Strong disagree"",""Strongly agree"",""Strong disagree"",""Strong disagree"",""Strong disagree"",""Strong disagree"",""Strong disagree"",""Strong disagree"",""Strong disagree"",""Neutral"",""Strong disagree"",""Strong disagree"",""Neutral"",""2"",""Agree"",""It is beneficial for my personal security";I trust them to use the technology ethically;"It will not be misused or hacked"",""I can’t opt out or consent";I do not trust them to use technology ethically;"It will be misused or hacked"",""I am not sure"",""Disagree"",""Neutral"",""Agree"",""Agree"",""Strongly believe"",""I am now somewhat less supportive of using facial recognition technology"",""Agree"",""As today, some locals provide strong public control over camera usages, the issue is keeping the public in control, not allow government to use technology without the public having control."",""""";;;;;;;;
199;"2019/10/28 3:38:43 pm CET,""61 - 70"",""Female"",""Doctor or equivalent"",""United States"",""Education & Training"",""Very well"",""Print media";Internet;Scientific articles/journals;"Media"",""Swipe";Passwords;"Finger prints"",""More secure"",""None of the above"",""Slightly knowledgeable"",""Strongly agree"",""2"",""Agree"",""Disagree"",""Agree"",""Agree"",""Disagree"",""Disagree"",""Agree"",""Strong disagree"",""Neutral"",""Agree"",""Neutral"",""Neutral"",""Strong disagree"",""Agree"",""Neutral"",""3"",""Agree"",""It is beneficial for the security of society";It enhances existing security systems e.g. CCTV and others;I can opt out or consent;It is indiscriminate e.g. by race and gender;"It is accurate"",""It infringes on the privacy of people in society";I can’t opt out or consent;I do not trust them to use technology ethically;It infringes on my personal privacy;It will be misused or hacked;It can be used to discriminate e.g. by race and gender;"It is not accurate"",""I am not sure"",""Agree"",""Neutral"",""Disagree"",""Agree"",""Believe"",""It had no affect"",""Strongly agree"","""","""""
200;"2019/10/28 3:53:13 pm CET,""61 - 70"",""Female"",""Master or equivalent"",""United States"",""Retired & Unemployed"",""Somewhat"",""Print media";Internet;"Conversations with others"",""Passwords";Finger prints;"Face ID"",""Faster"",""problems with it working"",""Not knowledgeable at all"",""Agree"",""4"",""Agree"",""Agree"",""Agree"",""Agree"",""Agree"",""Neutral"",""Agree"",""Disagree"",""Agree"",""Neutral"",""Agree"",""Neutral"",""Disagree"",""Neutral"",""Neutral"",""2"",""Agree"",""It is beneficial for the security of society";It is beneficial for my personal security;It enhances existing security systems e.g. CCTV and others;I can opt out or consent;I trust them to use the technology ethically;It is indiscriminate e.g. by race and gender;"It is reliable"",""I can’t opt out or consent";I do not trust them to use technology ethically;It infringes on my personal privacy;It will be misused or hacked;"It is not accurate"",""I am not sure"",""Agree"",""Neutral"",""Neutral"",""Agree"",""Neutral"",""It had no affect"",""Agree"",""Still don't know enough about it to make decisions about it."",""""";
201;"2019/10/28 4:38:24 pm CET,""61 - 70"",""Male"",""Doctor or equivalent"",""United States"",""Law & Legal services"",""Know about but don’t understand"",""Internet"",""Passwords";"Face ID"",""I am not sure"",""I am not sure"",""Not knowledgeable at all"",""Strongly agree"",""5"",""Strongly agree"",""Neutral"",""Strong disagree"",""Strong disagree"",""Strong disagree"",""Strong disagree"",""Neutral"",""Strong disagree"",""Agree"",""Disagree"",""Disagree"",""Disagree"",""Strong disagree"",""Strong disagree"",""Neutral"",""2"",""Agree"",""I do not know"",""I do not know"",""I am not sure"",""Agree"",""Neutral"",""Neutral"",""Neutral"",""Strongly believe"",""I am now somewhat more supportive of using facial recognition technology"",""Agree"","""",""""";;;;;;;;;;;;;;
202;"2019/10/28 5:51:56 pm CET,""41- 50"",""Male"",""Bachelor or equivalent"",""United States"",""Tour & Travel"",""Neutral"",""Scientific articles/journals"",""Finger prints"",""I am not sure"",""I am not sure"",""Neutral"",""Agree"",""3"",""Agree"",""Agree"",""Agree"",""Agree"",""Strong disagree"",""Strong disagree"",""Agree"",""Neutral"",""Agree"",""Agree"",""Agree"",""Agree"",""Disagree"",""Agree"",""Neutral"",""2"",""Agree"",""It is beneficial for the security of society";It is beneficial for my personal security;It enhances existing security systems e.g. CCTV and others;"It does not affect me personally"",""I do not know"",""I am not sure"",""Agree"",""Agree"",""Agree"",""Neutral"",""Neutral"",""It had no affect"",""Agree"","""",""""";;;;;;;;;;;;
203;"2019/10/28 6:30:08 pm CET,""41- 50"",""Male"",""Doctor or equivalent"",""United States"",""Education & Training"",""Somewhat"",""Internet"",""Passwords";"Face ID"",""Faster"",""I am not sure"",""Slightly knowledgeable"",""Strongly agree"",""2"",""Agree"",""Neutral"",""Strongly agree"",""Strongly agree"",""Neutral"",""Agree"",""Strongly agree"",""Strongly agree"",""Strongly agree"",""Agree"",""Agree"",""Strongly agree"",""Strongly agree"",""Agree"",""Strongly agree"",""1"",""Agree"",""It is beneficial for the security of society";It enhances existing security systems e.g. CCTV and others;I trust them to use the technology ethically;It will not be misused or hacked;It is accurate;It is reliable;"It does not affect me personally"",""I do not trust them to use technology ethically";It will be misused or hacked;"I do not know"",""Yes"",""Agree"",""Agree"",""Agree"",""Agree"",""Disbelieve"",""I am now somewhat more supportive of using facial recognition technology"",""Strongly agree"","""",""""";;;;;;
204;"2019/10/28 7:07:08 pm CET,""61 - 70"",""Female"",""Doctor or equivalent"",""United States"",""Retired & Unemployed"",""Very well"",""Internet"",""Face ID"",""Faster"",""Less secure"",""Very Knowledgeable"",""Neutral"",""1"",""Strongly agree"",""Agree"",""Strongly agree"",""Strongly agree"",""Strongly agree"",""Agree"",""Agree"",""Disagree"",""Strongly agree"",""Agree"",""Agree"",""Strongly agree"",""Disagree"",""Agree"",""Agree"",""1"",""Strongly agree"",""It is beneficial for the security of society";It is beneficial for my personal security;It enhances existing security systems e.g. CCTV and others;"I trust them to use the technology ethically"",""It will be misused or hacked";"It can be used to discriminate e.g. by race and gender"",""Yes"",""Strongly agree"",""Agree"",""Agree"",""Agree"",""Believe"",""I am now somewhat more supportive of using facial recognition technology"",""Strongly agree"","""",""""";;;;;;;;;;;
205;"2019/10/28 11:26:17 pm CET,""51 - 60"",""Male"",""Doctor or equivalent"",""United States"",""Education & Training"",""Somewhat"",""Print media";"Scientific articles/journals"",""Passwords";"Face ID"",""Faster"",""Less reliable"",""Not knowledgeable at all"",""Agree"",""3"",""Agree"",""Neutral"",""Agree"",""Agree"",""Neutral"",""Strong disagree"",""Agree"",""Agree"",""Agree"",""Neutral"",""Neutral"",""Neutral"",""Strong disagree"",""Neutral"",""Neutral"",""3"",""Agree"",""It is beneficial for the security of society";"It enhances existing security systems e.g. CCTV and others"",""I do not trust them to use technology ethically";It will be misused or hacked;"It can be used to discriminate e.g. by race and gender"",""I am not sure"",""Neutral"",""Neutral"",""Neutral"",""Agree"",""Believe"",""It had no affect"",""Strongly agree"","""",""""";;;;;;;;;;
